72,46040,11
34309,101762,15
10393,24498,16
19748,62065,20
10239,18717,6
14244,7784,128
25390,62350,104
17963,17814,185
5727,99794,85
6728,72177,139
30738,23176,18
26542,61261,66
29315,47839,139
14234,56955,17
21529,113077,34
15453,110954,179
6507,43515,70
16376,63980,2
22667,22605,11
16780,73088,230
13902,97686,91
5218,101460,174
13779,82441,20
6018,37590,6
21888,96584,14
30103,59346,118
24795,66621,74
33307,98081,16
31334,6457,14
32505,14609,274
23033,80143,68
22171,85134,66
12705,117507,26
26365,45772,21
24951,44185,87
8607,6412,89
10451,92410,33
6734,4907,21
13612,91071,52
11973,112022,10
17220,11852,18
2611,15938,10
19774,54090,14
16562,13418,65
33035,9569,19
3611,111694,14
15303,38779,138
22260,58300,31
13661,42827,3
34200,14919,85
12759,55455,59
15552,102252,16
2823,66300,31
12397,4426,103
14807,72729,115
17873,3154,151
15938,116707,75
4545,36180,11
21840,35911,22
26050,109321,22
26752,109284,78
34977,40220,31
18397,8369,8
15262,22907,3
4985,105336,15
5792,48329,7
29775,70264,6
16903,27522,31
336,13455,69
19395,103073,53
9967,18411,24
21705,25313,436
32748,6345,34
12966,75891,22
7114,84233,15
13021,108560,182
15260,25296,47
25059,81193,36
9065,1196,24
14914,88935,20
1257,65561,96
27703,54485,63
2852,93379,444
3629,37638,52
28022,33779,54
13105,82667,86
9374,54813,34
35411,5895,103
4320,117037,13
1985,16789,12
9066,100636,14
2252,60229,23
8229,17210,74
4659,19766,21
26440,107632,62
4490,21757,48
28994,5253,287
31138,66625,397
20402,103624,10
2140,3431,7
6712,112038,45
5675,80945,73
4390,113491,50
5255,79597,22
13435,50710,12
2376,100126,53
11862,112434,82
19935,3699,7
14820,1560,76
31889,80231,44
21988,5638,41
32575,112737,25
30112,20359,36
28110,108491,57
5348,74680,6
27161,31544,9
942,74842,69
951,67405,112
32217,35854,13
4138,10511,74
11347,105224,133
19355,35681,2
12705,114996,41
14087,93224,38
15166,1227,2
19237,65497,52
19107,91535,7
22263,16786,16
20292,5231,104
2618,31435,11
6210,14135,30
14706,35316,16
25646,30335,13
6052,3642,24
23323,31824,19
5476,78213,93
9469,106620,76
35403,73984,95
2053,11297,40
32185,60651,9
33976,25764,69
